DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60200098;Auernheimergasse;Wien;49000001;48.2031467;16.5181136
60200099;Augasse;Wien;49000001;48.229711;16.357441
60200100;Broßmannplatz;Wien;49000001;48.2519789;16.3983682
60200101;Aumannplatz;Wien;49000001;48.2281611;16.3365641
60200102;Autokaderstraße;Wien;49000001;48.2774477;16.3880106
60200103;Aßmayergasse;Wien;49000001;48.1787251;16.337714
60200104;Bacherplatz;Wien;49000001;48.1882424;16.3568571
60200105;Badeteich Süßenbrunn;Wien;49000001;48.2777407;16.4878045
60200106;Badgasse;Wien;49000001;48.2090138;16.2239962
60200107;Rettichgasse;Wien;49000001;48.201584;16.2622465
60200108;Duchekgasse;Wien;49000001;48.2091875;16.5175477
60200109;Barawitzkagasse;Wien;49000001;48.2446212;16.3556803
60200110;Barichgasse;Wien;49000001;48.198231;16.3948648
60200111;Morelligasse;Wien;49000001;48.2504297;16.4041354
60200112;Bauernfeldplatz;Wien;49000001;48.2208777;16.3607198
60200113;Linzer Straße/Hochsatzengasse;Wien;49000001;48.1968538;16.2771046
60200114;Baumgartner Friedhof, 3. Tor;Wien;49000001;48.2014224;16.2790719
60200115;Baumgasse;Wien;49000001;48.1932909;16.4047552
60200116;Nußdorf, Beethovengang;Wien;49000001;48.259545;16.3630554
60200117;Belgradplatz;Wien;49000001;48.1742803;16.3607378
60200118;Bellevuestraße;Wien;49000001;48.248689;16.3284434
60200119;Jedlesee, Bellgasse;Wien;49000001;48.2626368;16.3869596
60200120;Belvederegasse;Wien;49000001;48.1901469;16.3719577
60200121;Benatzkygasse;Wien;49000001;48.2299444;16.4396099
60200122;Berggasse;Wien;49000001;48.2180646;16.3617349
60200123;Bergmillergasse;Wien;49000001;48.2013745;16.2567758
60200124;Yppengasse;Wien;49000001;48.2147127;16.3356658
60200125;Theodor-Körner-Gasse;Wien;49000001;48.2497179;16.4076568
60200127;Fernkorngasse;Wien;49000001;48.1740647;16.3635675
60200128;Bernreiterplatz;Wien;49000001;48.2814054;16.4063453
60200129;Mühlschüttel;Wien;49000001;48.2491975;16.410729
60200130;Berzeliusgasse;Wien;49000001;48.2756542;16.4104955
60200131;Franz-Eder-Weg;Wien;49000001;48.1772456;16.4345074
60200132;Anton-Schall-Gasse;Wien;49000001;48.2890208;16.4157147
60200133;Bettelheimstraße;Wien;49000001;48.2789962;16.4924937
60200134;Bernoullistraße;Wien;49000001;48.2401701;16.4370317
60200135;Döblinger Hauptstraße/Gatterburggasse;Wien;49000001;48.2389137;16.3546023
60200136;Laxenburger Str./Gudrunstr.;Wien;49000001;48.1783597;16.3737544
60200137;Bezirksamt Margareten;Wien;49000001;48.1906739;16.3549976
60200138;Bibernellweg;Wien;49000001;48.2472534;16.4790998
60200139;Kretschekgasse;Wien;49000001;48.2246422;16.2836893
60200140;Schierlinggrundbrücke;Wien;49000001;48.2087085;16.4648076
60200141;Alberner Hafenzufahrtsstraße West;Wien;49000001;48.1733458;16.4703772
60200142;Bischoffgasse;Wien;49000001;48.1833792;16.3219935
60200143;Bischofgasse;Wien;49000001;48.1380845;16.3975238
60200144;Blaasstraße;Wien;49000001;48.2371128;16.341972
60200145;Blechturmgasse;Wien;49000001;48.1843555;16.3682747
60200146;Bleibtreustraße;Wien;49000001;48.1779764;16.4490332
60200147;Blériotgasse;Wien;49000001;48.1709734;16.4256411
60200148;Blindengasse;Wien;49000001;48.2109714;16.3404808
60200149;Blumengasse;Wien;49000001;48.2214942;16.3317312
60200150;Hetmanekgasse;Wien;49000001;48.1373172;16.3169719
60200152;Bohattaweg;Wien;49000001;48.1379406;16.2297095
60200153;Borkowskigasse;Wien;49000001;48.2370889;16.3306263
60200155;Maculangasse/Wagramer Straße;Wien;49000001;48.2624873;16.4536865
60200156;Braillegasse;Wien;49000001;48.2027097;16.295062
60200157;Brandstätte;Wien;49000001;48.210265;16.3705384
60200158;Braungasse;Wien;49000001;48.2269523;16.296095
60200159;Grimmgasse;Wien;49000001;48.1869069;16.3283625
60200160;Braunhubergasse;Wien;49000001;48.1717882;16.4186701
60200161;Braunschweiggasse;Wien;49000001;48.1894881;16.2954572
60200162;Scheffelstraße;Wien;49000001;48.2516619;16.4055458
60200163;Breiteneckergasse;Wien;49000001;48.1441869;16.3294135
60200164;Breitenlee Friedhof;Wien;49000001;48.2511655;16.4929159
60200165;Breitenlee Ort;Wien;49000001;48.2511954;16.4975871
60200166;Breitensee;Wien;49000001;48.198243;16.3063628
60200167;Roschégasse;Wien;49000001;48.1539323;16.4502908
60200168;Bretschneidergasse;Wien;49000001;48.2542399;16.3481254
60200169;Brigittagasse;Wien;49000001;48.2332774;16.3747246
60200170;Brigittaplatz;Wien;49000001;48.2326431;16.3703318
60200171;Brockhausengasse;Wien;49000001;48.2076908;16.4770067
60200172;Thaliastraße/Brunnengasse;Wien;49000001;48.2090498;16.3354323
60200173;Neulerchenfelder Straße/Brunnengasse;Wien;49000001;48.2110911;16.3359443
60200174;Brunner Straße/Erlaaer Straße;Wien;49000001;48.1461948;16.2968137
60200175;Brückengasse;Wien;49000001;48.1913027;16.3476044
60200176;Brünner Straße;Wien;49000001;48.2677557;16.4037042
60200177;Bergtaidingweg;Wien;49000001;48.1466084;16.3973172
60200178;Brünnlbadgasse;Wien;49000001;48.2153951;16.3457359
60200179;Brüßlgasse;Wien;49000001;48.2059966;16.3207089
60200180;Bubergasse;Wien;49000001;48.2704524;16.4514766
60200181;Buchbindergasse;Wien;49000001;48.1637119;16.2697834
60200182;Grünhaufenbrücke;Wien;49000001;48.1922609;16.4522222
60200183;Computerstraße/Gutheil-Schoder-Gasse;Wien;49000001;48.159883;16.3370672
60200184;Hütteldorf, Bujattigasse;Wien;49000001;48.2026318;16.2551408
60200185;Bundessportbad;Wien;49000001;48.2400086;16.4209698
60200186;Bunsengasse;Wien;49000001;48.2632588;16.3909931
60200187;Burgersteingasse;Wien;49000001;48.202566;16.2979545
60200188;Burggasse-Stadthalle;Wien;49000001;48.2022965;16.3373097
60200189;Campingplatz Wien-West 2;Wien;49000001;48.2145092;16.2495443
60200190;Burgring;Wien;49000001;48.2039251;16.3637202
60200191;Burgstall;Wien;49000001;48.2699442;16.3613486
60200192;Rathausplatz/Burgtheater;Wien;49000001;48.2104446;16.3606569
60200193;Bärenmühldurchgang;Wien;49000001;48.1995124;16.3662894
60200194;Börnergasse;Wien;49000001;48.2475644;16.3316324
60200195;Börse;Wien;49000001;48.2155627;16.3660019
60200196;Bösendorferstraße/Karlsplatz U;Wien;49000001;48.2012967;16.3705923
60200197;Camillo-Sitte-Gasse;Wien;49000001;48.2050027;16.3273025
60200198;Breitenfurter Str./Willergasse;Wien;49000001;48.1379646;16.2571171
60200199;Gerbergasse;Wien;49000001;48.149839;16.2994278
60200200;Campingplatz Wien-West 1;Wien;49000001;48.2112827;16.2535149
60200201;Campingplatzweg;Wien;49000001;48.2757438;16.4805641
60200202;Canisiusgasse;Wien;49000001;48.2280474;16.3548089
60200203;Carabelligasse;Wien;49000001;48.2802157;16.4108099
60200204;Carlbergergasse;Wien;49000001;48.1412137;16.2979545
60200206;Celtesgasse;Wien;49000001;48.2517576;16.2971191
60200207;Hafen Freudenau;Wien;49000001;48.1786053;16.4723804
60200208;Chimanistraße;Wien;49000001;48.23953;16.3437686
60200209;Cobenzl Parkplatz;Wien;49000001;48.2639884;16.3214365
60200210;Cobenzlgasse;Wien;49000001;48.2636355;16.3305095
60200211;Columbusplatz;Wien;49000001;48.182361;16.3736915
60200212;Triester Str./Computerstraße;Wien;49000001;48.1576358;16.3420169
60200213;Concordiaplatz;Wien;49000001;48.2137011;16.3700623
60200214;Corvinusgasse;Wien;49000001;48.1444626;16.2806889
60200215;Cottagegasse;Wien;49000001;48.2338638;16.3418193
60200216;Cottagestraße;Wien;49000001;48.2151317;16.2262959
60200217;Czartoryskigasse;Wien;49000001;48.227808;16.3274462
60200218;Dahliengasse;Wien;49000001;48.2869108;16.444901
60200219;Dammstraße;Wien;49000001;48.2346895;16.3752546
60200220;Dampfkraftwerk Donaustadt;Wien;49000001;48.1974765;16.4609179
